No,PLACE,,SEX,D_LENGTH,COD,DATE,SPECIES,COUNT,MEASURED,F_LENGTH,F_WEIGHT,Weighting,
DD305,Sanxenxo,,Male,183,Bycatch,05/04/1995,Hake,8,8,230.304,90.561,0.5,75
DD305,Sanxenxo,,Male,183,Bycatch,05/04/1995,Hake,8,8,194.455,55.321,0.5,76
DD305,Sanxenxo,,Male,183,Bycatch,05/04/1995,Hake,8,8,226.316,86.069,0.5,77
DD305,Sanxenxo,,Male,183,Bycatch,05/04/1995,Hake,8,8,230.304,90.561,0.5,78
DD305,Sanxenxo,,Male,183,Bycatch,05/04/1995,Hake,8,8,210.385,69.583,0.5,79
DD305,Sanxenxo,,Male,183,Bycatch,05/04/1995,Hake,8,8,234.269,95.178,0.5,80
DD307,"P, Estorde",,Male,146,Unknown,23/04/1995,Hake,8,8,274.084,150.354,0.5,81
DD307,"P, Estorde",,Male,146,Unknown,23/04/1995,Hake,8,8,262.142,132.055,0.5,82
DD307,"P, Estorde",,Male,146,Unknown,23/04/1995,Hake,8,8,274.084,150.354,0.5,83
DD307,"P, Estorde",,Male,146,Unknown,23/04/1995,Hake,8,8,287.876,173.47,0.5,84
DD307,"P, Estorde",,Male,146,Unknown,23/04/1995,Hake,8,8,249.738,114.665,0.5,85
DD307,"P, Estorde",,Male,146,Unknown,23/04/1995,Hake,8,8,300.538,196.644,0.5,86
DD307,"P, Estorde",,Male,146,Unknown,23/04/1995,Hake,8,8,237,98.447,0.5,87
DD307,"P, Estorde",,Male,146,Unknown,23/04/1995,Hake,8,8,300.538,196.644,0.5,88
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,190.49,52.099,0.5,89
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,194.455,55.321,0.5,90
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,158.629,30.568,0.5,91
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,158.629,30.568,0.5,92
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,178.548,43.144,0.5,93
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,230.304,90.561,0.5,94
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,158.629,30.568,0.5,95
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,234.269,95.178,0.5,96
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,198.443,58.691,0.5,97
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,146.687,24.336,0.5,98
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,166.582,35.25,0.5,99
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,146.687,24.336,0.5,100
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,166.582,35.25,0.5,101
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,174.559,40.396,0.5,102
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,154.64,28.383,0.5,103
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,166.582,35.25,0.5,104
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,178.548,43.144,0.5,105
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,218.362,77.55,0.5,106
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,214.374,73.496,0.5,107
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,162.617,32.861,0.5,108
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,174.559,40.396,0.5,109
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,206.397,65.81,0.5,110
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,166.582,35.25,0.5,111
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,170.571,37.766,0.5,112
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,198.443,58.691,0.5,113
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,182.513,45.995,0.5,114
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,194.455,55.321,0.5,115
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,190.49,52.099,0.5,116
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,162.617,32.861,0.5,117
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,194.455,55.321,0.5,118
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,186.501,48.984,0.5,119
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,237,98.447,0.5,120
DD310,"Corrubedo, Riveira",,Male,214,Unknown,21/01/1995,Hake,33,33,147.986,24.97,0.5,121
DD312,"Trece, Camarinas",,Male,188,Unknown,15/04/1995,Hake,7,7,238.258,99.977,0.5,122
DD312,"Trece, Camarinas",,Male,188,Unknown,15/04/1995,Hake,7,7,210.385,69.583,0.5,123
DD312,"Trece, Camarinas",,Male,188,Unknown,15/04/1995,Hake,7,7,210.385,69.583,0.5,124
DD312,"Trece, Camarinas",,Male,188,Unknown,15/04/1995,Hake,7,7,222.327,81.724,0.5,125
DD312,"Trece, Camarinas",,Male,188,Unknown,15/04/1995,Hake,7,7,234.269,95.178,0.5,126
DD312,"Trece, Camarinas",,Male,188,Unknown,15/04/1995,Hake,7,7,226.316,86.069,0.5,127
DD312,"Trece, Camarinas",,Male,188,Unknown,15/04/1995,Hake,7,7,222.327,81.724,0.5,128
DD315,"Talon, Fisterra",,Female,184,Unknown,01/03/1995,Hake,2,2,207.024,66.394,0.5,129
DD315,"Talon, Fisterra",,Female,184,Unknown,01/03/1995,Hake,2,2,213.278,72.407,0.5,130
DD317,"Boca do Rio, Carnota",,Male,,Unknown,21/01/1995,Hake,2,2,250.2,115.284,0.5,131
DD317,"Boca do Rio, Carnota",,Male,,Unknown,21/01/1995,Hake,2,2,254.188,120.719,0.5,132
DD319,"Barizo, Malpica",,Male,,Bycatch,12/03/1995,Hake,4,4,166.582,35.25,0.5,133
DD319,"Barizo, Malpica",,Male,,Bycatch,12/03/1995,Hake,4,4,138.733,20.688,0.5,134
DD319,"Barizo, Malpica",,Male,,Bycatch,12/03/1995,Hake,4,4,166.582,35.25,0.5,135
DD319,"Barizo, Malpica",,Male,,Bycatch,12/03/1995,Hake,4,4,109.848,10.481,0.5,136
DD320,"Serans, Porto do Son",,Female,163,Bycatch,20/05/1995,Hake,2,2,294.003,184.445,0.5,137
DD320,"Serans, Porto do Son",,Female,163,Bycatch,20/05/1995,Hake,2,2,297.992,191.83,0.5,138
DD321,"O Son, Porto do Son",,Male,178,Unknown,11/02/1995,Hake,2,2,270.119,144.105,0.5,139
DD321,"O Son, Porto do Son",,Male,178,Unknown,11/02/1995,Hake,2,2,270.119,144.105,0.5,140
DD324,"Torinan, Muxia",,Male,,Bycatch,21/05/1995,Hake,2,2,282.061,163.459,0.5,141
DD324,"Torinan, Muxia",,Male,,Bycatch,21/05/1995,Hake,2,2,282.061,163.459,0.5,142
DD501,"P, Silgar/Sanxenxo",,Female,,,28/02/1996,Hake,3,3,445.165,617.591,0.5,143
DD501,"P, Silgar/Sanxenxo",,Female,,,28/02/1996,Hake,3,3,246.139,109.918,0.5,144
DD501,"P, Silgar/Sanxenxo",,Female,,,28/02/1996,Hake,3,3,338.6,278.315,0.5,145
DD503,"P, Padroneses, O Grove",,Female,198,,25/02/1996,Hake,2,2,228.489,88.498,0.5,146
DD503,"P, Padroneses, O Grove",,Female,198,,25/02/1996,Hake,2,2,119.769,13.483,0.5,147
DD504,,,Unknown,,Unknown,05/02/1996,Hake,1,1,236.275,97.572,0.5,148
DD508,"P,Mendui~na/Aldan/Cangas",,Male,240,,02/05/1995,Hake,2,2,185.785,48.438,0.5,149
DD508,"P,Mendui~na/Aldan/Cangas",,Male,240,,02/05/1995,Hake,2,2,205.202,64.706,0.5,150
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,259.562,128.305,0.5,151
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,259.562,128.305,0.5,152
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,282.873,164.833,0.5,153
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,294.528,185.406,0.5,154
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,278.98,158.312,0.5,155
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,259.562,128.305,0.5,156
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,298.398,192.593,0.5,157
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,350.823,308.603,0.5,158
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,298.398,192.593,0.5,159
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,255.693,122.813,0.5,160
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,212.965,72.098,0.5,161
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,378.34,384.53,0.5,162
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,291.461,179.838,0.5,163
DD519,"P, Nemi~na, Cee",,Male,222,,05/04/1996,Hake,14,14,279.105,158.519,0.5,164
DD522,"Corna,Palmeira/Pboa Caram",i~nal,Female,183,,10/07/1995,Hake,2,2,75.106,3.463,0.5,165
DD522,"Corna,Palmeira/Pboa Caram",i~nal,Female,183,,10/07/1995,Hake,2,2,77.041,3.729,0.5,166
DD525,Lari~no/Carnota,,Unknown,207,,08/12/1996,Hake,7,7,143.056,22.623,0.5,167
DD525,Lari~no/Carnota,,Unknown,207,,08/12/1996,Hake,7,7,181.892,45.54,0.5,168
DD525,Lari~no/Carnota,,Unknown,207,,08/12/1996,Hake,7,7,189.654,51.435,0.5,169
DD525,Lari~no/Carnota,,Unknown,207,,08/12/1996,Hake,7,7,170.236,37.55,0.5,170
DD525,Lari~no/Carnota,,Unknown,207,,08/12/1996,Hake,7,7,143.056,22.623,0.5,171
DD525,Lari~no/Carnota,,Unknown,207,,08/12/1996,Hake,7,7,158.605,30.555,0.5,172
DD525,Lari~no/Carnota,,Unknown,207,,08/12/1996,Hake,7,7,139.187,20.886,0.5,173
DD533,Concheira (Bayona),,Female,220,,14/05/1997,Hake,3,3,341.126,284.407,0.5,174
DD533,Concheira (Bayona),,Female,220,,14/05/1997,Hake,3,3,341.126,284.407,0.5,175
DD533,Concheira (Bayona),,Female,220,,14/05/1997,Hake,3,3,204.659,64.208,0.5,176
DD534,"P,Coroso/Riveira",,Female,181,Bycatch,31/05/1996,Hake,1,1,181.892,45.54,0.5,177
DD558,Xu~no,,Male,192,Bycatch,17/02/1997,Hake,2,1,244.038,107.207,1,178
DD560,"P,Vilari~no/Hio/Cangas",,Male,227,,11/05/1996,Hake,2,2,333.722,266.796,0.5,179
DD560,"P,Vilari~no/Hio/Cangas",,Male,227,,11/05/1996,Hake,2,2,317.791,231.365,0.5,180
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,192.303,53.556,0.5652173913,181
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,192.303,53.556,0.5652173913,182
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,142.647,22.435,0.5652173913,183
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,130.29,17.23,0.5652173913,184
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,204.659,64.208,0.5652173913,185
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,167.437,35.78,0.5652173913,186
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,130.29,17.23,0.5652173913,187
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,117.857,12.865,0.5652173913,188
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,155.08,28.619,0.5652173913,189
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,49.666,1.038,0.5652173913,190
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,37.233,0.448,0.5652173913,191
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,68.278,2.623,0.5652173913,192
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,55.845,1.461,0.5652173913,193
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,68.278,2.623,0.5652173913,194
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,49.666,1.038,0.5652173913,195
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,31.055,0.264,0.5652173913,196
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,146.949,24.463,0.5652173913,197
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,123.638,14.791,0.5652173913,198
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,158.605,30.555,0.5652173913,199
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,104.221,8.992,0.5652173913,200
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,80.934,4.305,0.5652173913,201
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,100.352,8.054,0.5652173913,202
DD561,"P,O Pindo/Carnota",,Female,184,,09/01/1996,Hake,26,23,96.458,7.177,0.5652173913,203
DD564,"P,St, Marta/Cangas",,Female,,Bycatch,30/03/1996,Hake,2,2,142.647,22.435,0.5,204
DD564,"P,St, Marta/Cangas",,Female,,Bycatch,30/03/1996,Hake,2,2,105.424,9.298,0.5,205
DD577,Queiruga/Porto do Son,,Male,,,05/04/1998,Hake,2,2,117.857,12.865,0.5,206
DD577,Queiruga/Porto do Son,,Male,,,05/04/1998,Hake,2,2,93.067,6.466,0.5,207
DD582,Telleia,,Female,,,07/05/1998,Hake,7,7,161.258,32.068,0.5,208
DD582,Telleia,,Female,,,07/05/1998,Hake,7,7,167.437,35.78,0.5,209
DD582,Telleia,,Female,,,07/05/1998,Hake,7,7,142.647,22.435,0.5,210
DD582,Telleia,,Female,,,07/05/1998,Hake,7,7,155.08,28.619,0.5,211
DD582,Telleia,,Female,,,07/05/1998,Hake,7,7,155.08,28.619,0.5,212
DD582,Telleia,,Female,,,07/05/1998,Hake,7,7,105.424,9.298,0.5,213
DD582,Telleia,,Female,,,07/05/1998,Hake,7,7,117.857,12.865,0.5,214
DD607,"P, Bateira, O Grove",,Male,190,,04/04/1998,Hake,4,4,205.202,64.706,0.5,215
DD607,"P, Bateira, O Grove",,Male,190,,04/04/1998,Hake,4,4,205.202,64.706,0.5,216
DD607,"P, Bateira, O Grove",,Male,190,,04/04/1998,Hake,4,4,162.474,32.777,0.5,217
DD607,"P, Bateira, O Grove",,Male,190,,04/04/1998,Hake,4,4,162.474,32.777,0.5,218
DD609,"Torre de Hercules, A Coru",~na,Female,185,,24/02/1998,Hake,3,3,205.202,64.706,0.5,219
DD609,"Torre de Hercules, A Coru",~na,Female,185,,24/02/1998,Hake,3,3,179.87,44.081,0.5,220
DD609,"Torre de Hercules, A Coru",~na,Female,185,,24/02/1998,Hake,3,3,179.87,44.081,0.5,221
DD610,"P, Queiruga, P, do Son",,Female,,,20/05/1998,Hake,17,11,246.139,109.918,0.7727272727,222
DD610,"P, Queiruga, P, do Son",,Female,,,20/05/1998,Hake,17,11,238.186,99.889,0.7727272727,223
DD610,"P, Queiruga, P, do Son",,Female,,,20/05/1998,Hake,17,11,238.186,99.889,0.7727272727,224
DD610,"P, Queiruga, P, do Son",,Female,,,20/05/1998,Hake,17,11,238.186,99.889,0.7727272727,225
DD610,"P, Queiruga, P, do Son",,Female,,,20/05/1998,Hake,17,11,206.349,65.765,0.7727272727,226
DD610,"P, Queiruga, P, do Son",,Female,,,20/05/1998,Hake,17,11,214.302,73.424,0.7727272727,227
DD610,"P, Queiruga, P, do Son",,Female,,,20/05/1998,Hake,17,11,246.139,109.918,0.7727272727,228
DD610,"P, Queiruga, P, do Son",,Female,,,20/05/1998,Hake,17,11,206.349,65.765,0.7727272727,229
DD610,"P, Queiruga, P, do Son",,Female,,,20/05/1998,Hake,17,11,142.65,22.436,0.7727272727,230
DD610,"P, Queiruga, P, do Son",,Female,,,20/05/1998,Hake,17,11,142.65,22.436,0.7727272727,231
DD610,"P, Queiruga, P, do Son",,Female,,,20/05/1998,Hake,17,11,206.349,65.765,0.7727272727,232
DD628,"P, San Pedro, A Coru~na",,Male,200,,13/09/1998,Hake,2,2,317.791,231.365,0.5,233
DD628,"P, San Pedro, A Coru~na",,Male,200,,13/09/1998,Hake,2,2,317.791,231.365,0.5,234
DD629,Corrubedo,,Unknown,,Unknown,13/02/1998,Hake,2,2,170.236,37.55,0.5,235
DD629,Corrubedo,,Unknown,,Unknown,13/02/1998,Hake,2,2,170.236,37.55,0.5,236
DD630,"P, Melide, Cabo Home, Can",gas,Female,,Bycatch,08/03/1998,Hake,2,2,142.65,22.436,0.5,237
DD630,"P, Melide, Cabo Home, Can",gas,Female,,Bycatch,08/03/1998,Hake,2,2,142.65,22.436,0.5,238
DD634,"P, Bascuas, Sanxenxo",,Male,211,Bycatch,08/04/1998,Hake,2,2,437.211,585.993,0.5,239
DD634,"P, Bascuas, Sanxenxo",,Male,211,Bycatch,08/04/1998,Hake,2,2,453.118,650.283,0.5,240
DD636,"P, Ladeira, Baiona",,Male,184,Shark,15/03/1998,Hake,9,7,198.395,58.65,0.6428571429,241
DD636,"P, Ladeira, Baiona",,Male,184,Shark,15/03/1998,Hake,9,7,182.465,45.959,0.6428571429,242
DD636,"P, Ladeira, Baiona",,Male,184,Shark,15/03/1998,Hake,9,7,190.418,52.041,0.6428571429,243
DD636,"P, Ladeira, Baiona",,Male,184,Shark,15/03/1998,Hake,9,7,174.511,40.363,0.6428571429,244
DD636,"P, Ladeira, Baiona",,Male,184,Shark,15/03/1998,Hake,9,7,198.395,58.65,0.6428571429,245
DD636,"P, Ladeira, Baiona",,Male,184,Shark,15/03/1998,Hake,9,7,174.511,40.363,0.6428571429,246
DD636,"P, Ladeira, Baiona",,Male,184,Shark,15/03/1998,Hake,9,7,190.418,52.041,0.6428571429,247
DD639,"P, Mar de Fora, Fisterra",,Male,222,,08/05/1998,Hake,4,2,197.44,57.831,1,248
DD639,"P, Mar de Fora, Fisterra",,Male,222,,08/05/1998,Hake,4,2,185.785,48.438,1,249
DD642,"P, Mar do Rostro, Cee",,Male,,Bycatch,21/04/1998,Hake,5,2,143.056,22.623,1.25,250
DD642,"P, Mar do Rostro, Cee",,Male,,Bycatch,21/04/1998,Hake,5,2,150.818,26.387,1.25,251
DD644,"Mougas, Oia",,Male,193,,24/07/1998,Hake,15,13,212.965,72.098,0.5769230769,252
DD644,"Mougas, Oia",,Male,193,,24/07/1998,Hake,15,13,150.818,26.387,0.5769230769,253
DD644,"Mougas, Oia",,Male,193,,24/07/1998,Hake,15,13,192.303,53.556,0.5769230769,254
DD644,"Mougas, Oia",,Male,193,,24/07/1998,Hake,15,13,204.659,64.208,0.5769230769,255
