preySp,usedSp,area,weightPerc,spKjg
Blue whiting (Micromesistius poutassou),,Gal,50,4.4
Hake (Merluccius merluccius),,Gal,39.3,3.7
Other fish,Bony fish,Gal,5,5.7
Other Ommastrephidae,,Gal,4.8,4.4
Other Cephalopoda,Cephalopoda,Gal,0.9,4.4
